gene,pValue,fdr,logFoldChange
ENSG00000013583,0.40111871445160496,0.893094114620783,0.026122529646254413
ENSG00000013588,0.1342696024265281,0.6300063434201435,0.10151707849352272
ENSG00000013619,0.021800800117191033,0.28180491624353526,0.11292445327591288
ENSG00000013725,0.6217385671728759,0.893094114620783,-0.07096600816914533
ENSG00000013810,0.5561125350110838,0.893094114620783,0.019276613515053335
ENSG00000014123,0.6340202390977074,0.893094114620783,0.04782162548299291
ENSG00000014138,0.022815572002900245,0.2861351241497657,-0.036454756774751726
ENSG00000014164,0.03696791718724646,0.3608510037962862,0.06136124166142545
ENSG00000014216,0.04022268332418644,0.37381659925404137,-0.12140883231276353
ENSG00000014257,0.6217385671728759,0.893094114620783,0.006106042979232012
ENSG00000014641,0.07316870711612027,0.48557007454758827,-0.056714692281417615
ENSG00000014824,0.29493025995299627,0.857132418572339,0.04900312881805472
ENSG00000014914,0.10183929178073702,0.5589980277026529,0.07439451897555226
ENSG00000014919,0.1000404609330208,0.558348890802152,-0.015730917853948645
ENSG00000015133,0.0023783474395130495,0.09901412749044958,-0.1555095983713222
ENSG00000015153,0.07889169769342663,0.5018118476376925,0.08058699000018914
ENSG00000015171,0.4886313145444632,0.893094114620783,-0.014128768210008413
ENSG00000015285,0.3819828610863055,0.893094114620783,-0.07656251585912476
ENSG00000015413,0.16873111941396302,0.6945820055252911,0.11597604439609341
ENSG00000015475,0.14350796570949984,0.647900432503943,0.14646027663246358
ENSG00000015479,0.49944180434392427,0.893094114620783,0.04933613636203654
ENSG00000015520,0.8017971870653839,0.9464433293914813,-0.04388670834726144
ENSG00000015532,0.42081897260736734,0.893094114620783,-0.02016967841040271
ENSG00000015568,0.9241424566255172,0.9855428419861251,0.02777467583575577
ENSG00000015592,0.8286773856754452,0.956123803916301,0.036747426395616144
ENSG00000015676,0.012982423102802388,0.2216829277755012,-0.0833353855724542
ENSG00000016082,0.1342696024265281,0.6300063434201435,0.04200737180356437
ENSG00000016391,0.14350796570949984,0.647900432503943,0.1021841469961236
ENSG00000016402,0.372628551630678,0.893094114620783,0.04277636140398932
ENSG00000016490,0.748764189901213,0.924493690640972,0.006284701694762252
ENSG00000016602,0.9654786243041334,0.99669799644512,-0.056598753927218186
