Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000007350	0.023165453079358207	1.317697813250158e-4	0.025176496087313864	0.9651446404749653	NA	NA
ENSG00000050730	0.023165453079358207	1.317697813250158e-4	0.025176496087313864	0.9651446404749653	NA	NA
ENSG00000174521	0.023143917136222315	1.31740480833761e-4	0.02517649580078149	0.9651446404749653	NA	NA
ENSG00000237621	0.023130546008505417	1.3172226622780743e-4	0.025176495622718564	0.9651446404749653	NA	NA
ENSG00000269388	0.023109478258129697	1.3169353799368958e-4	0.025176495341956612	0.9651446404749653	NA	NA
ENSG00000059122	0.02308223911233605	1.3165634964527938e-4	0.025176494978644274	0.9651446404749653	NA	NA
ENSG00000165731	0.023080448639515215	1.3165390357192927e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000105497	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000118514	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749652	NA	NA
ENSG00000125618	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000188649	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000233610	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000242622	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000272354	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749652	NA	NA
ENSG00000280047	0.023080448639515215	1.3165390357192921e-4	0.025176494954752188	0.9651446404749652	NA	NA
ENSG00000213185	0.023080448639515215	1.3165390357192913e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000169760	0.023080448639515215	1.316539035719291e-4	0.025176494954752188	0.9651446404749652	NA	NA
ENSG00000168803	0.023080448639515215	1.3165390357192908e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000170627	0.023080448639515215	1.3165390357192908e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000238098	0.023080448639515215	1.3165390357192905e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000274925	0.023080448639515215	1.3165390357192905e-4	0.025176494954752188	0.9651446404749653	NA	NA
ENSG00000267454	0.023038603116116635	1.315969773952752e-4	0.025176494398609355	0.9651446404749653	NA	NA
ENSG00000184502	0.023005695435202304	1.3155212315817566e-4	0.02517649396065437	0.9651446404749653	NA	NA
ENSG00000181350	0.022988505747126436	1.3152865477693946e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000121454	0.022988505747126436	1.3152865477693943e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000134183	0.022988505747126436	1.3152865477693943e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000135314	0.022988505747126436	1.3152865477693943e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000223546	0.022988505747126436	1.3152865477693943e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000224973	0.022988505747126436	1.3152865477693943e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000232977	0.022988505747126436	1.3152865477693943e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000114670	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000115194	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000162365	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000167037	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000176358	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000178722	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000182035	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000229015	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000234684	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000260896	0.022988505747126436	1.315286547769394e-4	0.025176493731613188	0.9651446404749653	NA	NA
ENSG00000123684	2.114402497179455	1.314813722825952e-4	0.02501030725722338	0.9636658848120823	NA	NA
ENSG00000136875	2.1144755257423316	1.3143980746336195e-4	0.025010249624676847	0.9636862898444036	NA	NA
ENSG00000160584	2.1140090688166695	1.3123806805904383e-4	0.025010358590314665	0.9637252669457871	NA	NA
ENSG00000176396	2.114780021187611	1.3104873920991315e-4	0.025010679905848595	0.9637317413059444	NA	NA
ENSG00000205981	2.113839789409497	1.3099924111257259e-4	0.02501035743169851	0.963791355949968	NA	NA
ENSG00000167232	1.0859186389684392	1.3094922388327162e-4	0.025091076258046435	0.9458604622550187	NA	NA
ENSG00000113749	0.2548664673567813	1.30191969002222e-4	0.02516013553289408	0.924129648903983	NA	NA
ENSG00000162241	1.087257618315883	1.3018546501614216e-4	0.02509100103176104	0.9456314770239589	NA	NA
ENSG00000011422	0.9591181033296577	1.300968211880109e-4	0.025101287133990968	0.9746532770157457	NA	NA
